"Animal","Age","Time of death","Death cause","Total population"
"SQUIRREL","0","1","HUNGER","6200"
"HAWK","10","1","AGE","6199"
"HAWK","6","1","HUNGER","6198"
"HAWK","8","1","HUNGER","6197"
"SQUIRREL","2","1","HUNGER","6196"
"SQUIRREL","0","1","HUNGER","6195"
"HAWK","9","1","HUNGER","6194"
"SQUIRREL","0","1","HUNGER","6193"
"HAWK","10","1","HUNGER","6192"
"SQUIRREL","0","1","HUNGER","6191"
"SQUIRREL","0","1","EATEN","6190"
"SQUIRREL","0","1","EATEN","6189"
"HAWK","3","1","HUNGER","6188"
"SQUIRREL","1","1","HUNGER","6187"
"SQUIRREL","1","1","EATEN","6186"
"HAWK","3","1","HUNGER","6185"
"HAWK","3","1","HUNGER","6184"
"SQUIRREL","1","1","HUNGER","6183"
"SQUIRREL","1","1","HUNGER","6182"
"SQUIRREL","2","1","HUNGER","6181"
"HAWK","4","1","HUNGER","6180"
"SQUIRREL","0","1","HUNGER","6179"
"SQUIRREL","1","1","EATEN","6178"
"HAWK","8","1","HUNGER","6177"
"HAWK","6","1","HUNGER","6176"
"HAWK","4","1","HUNGER","6175"
"HAWK","10","1","HUNGER","6174"
"SQUIRREL","2","1","EATEN","6173"
"HAWK","5","1","HUNGER","6172"
"HAWK","6","1","HUNGER","6171"
"SQUIRREL","0","1","HUNGER","6170"
"SQUIRREL","0","1","EATEN","6169"
"HAWK","4","1","HUNGER","6168"
"HAWK","10","1","HUNGER","6167"
"HAWK","1","1","HUNGER","6166"
"SQUIRREL","0","1","EATEN","6165"
"SQUIRREL","2","1","EATEN","6164"
"HAWK","1","1","HUNGER","6163"
"SQUIRREL","2","1","EATEN","6162"
"SQUIRREL","2","1","EATEN","6161"
"SQUIRREL","1","1","HUNGER","6160"
"SQUIRREL","1","1","HUNGER","6159"
"SQUIRREL","0","1","HUNGER","6158"
"HAWK","6","1","HUNGER","6157"
"SQUIRREL","2","1","EATEN","6156"
"SQUIRREL","1","1","EATEN","6155"
"SQUIRREL","1","1","HUNGER","6154"
"HAWK","3","1","HUNGER","6153"
"HAWK","3","1","HUNGER","6152"
"HAWK","6","1","HUNGER","6151"
"SQUIRREL","1","1","HUNGER","6150"
"SQUIRREL","1","1","HUNGER","6149"
"SQUIRREL","1","1","HUNGER","6148"
"HAWK","10","1","HUNGER","6147"
"HAWK","9","1","HUNGER","6146"
"SQUIRREL","2","1","HUNGER","6145"
"HAWK","10","1","HUNGER","6144"
"SQUIRREL","0","1","HUNGER","6143"
"HAWK","1","1","HUNGER","6142"
"SQUIRREL","2","1","HUNGER","6141"
"SQUIRREL","0","1","EATEN","6140"
"HAWK","7","1","HUNGER","6139"
"SQUIRREL","1","1","EATEN","6138"
"HAWK","0","1","HUNGER","6137"
"SQUIRREL","0","1","HUNGER","6136"
"SQUIRREL","2","1","HUNGER","6135"
"SQUIRREL","1","1","HUNGER","6134"
"HAWK","4","1","HUNGER","6133"
"HAWK","8","1","HUNGER","6132"
"HAWK","8","1","HUNGER","6131"
"HAWK","10","1","HUNGER","6130"
"SQUIRREL","2","1","EATEN","6129"
"SQUIRREL","2","1","HUNGER","6128"
"SQUIRREL","1","1","HUNGER","6127"
"HAWK","8","1","HUNGER","6126"
"SQUIRREL","2","1","EATEN","6125"
"SQUIRREL","0","1","HUNGER","6124"
"HAWK","5","1","HUNGER","6123"
"HAWK","9","1","HUNGER","6122"
"SQUIRREL","2","1","EATEN","6121"
"SQUIRREL","1","1","HUNGER","6120"
"HAWK","7","1","HUNGER","6119"
"SQUIRREL","2","1","HUNGER","6118"
"HAWK","0","1","HUNGER","6117"
"SQUIRREL","0","1","HUNGER","6116"
"HAWK","7","1","HUNGER","6115"
"SQUIRREL","1","1","HUNGER","6114"
"SQUIRREL","0","1","HUNGER","6113"
"HAWK","5","1","HUNGER","6112"
"HAWK","3","1","HUNGER","6111"
"SQUIRREL","1","1","EATEN","6110"
"HAWK","9","1","HUNGER","6109"
"SQUIRREL","1","1","HUNGER","6108"
"SQUIRREL","1","1","EATEN","6107"
"SQUIRREL","2","1","HUNGER","6106"
"HAWK","4","1","HUNGER","6105"
"SQUIRREL","0","1","HUNGER","6104"
"SQUIRREL","2","1","EATEN","6103"
"HAWK","0","1","HUNGER","6102"
"SQUIRREL","0","1","HUNGER","6101"
"HAWK","9","1","AGE","6100"
"SQUIRREL","0","1","EATEN","6099"
"SQUIRREL","1","1","HUNGER","6098"
"HAWK","6","1","HUNGER","6097"
"SQUIRREL","0","1","HUNGER","6096"
"HAWK","1","1","HUNGER","6095"
"HAWK","9","1","AGE","6094"
"SQUIRREL","2","1","HUNGER","6093"
"SQUIRREL","0","1","HUNGER","6092"
"SQUIRREL","2","1","HUNGER","6091"
"SQUIRREL","0","1","HUNGER","6090"
"HAWK","6","1","HUNGER","6089"
"HAWK","2","1","HUNGER","6088"
"HAWK","1","1","HUNGER","6087"
"SQUIRREL","0","1","EATEN","6086"
"HAWK","1","1","HUNGER","6085"
"SQUIRREL","0","1","HUNGER","6084"
"SQUIRREL","1","1","HUNGER","6083"
"HAWK","5","1","HUNGER","6082"
"SQUIRREL","0","1","EATEN","6081"
"SQUIRREL","1","1","EATEN","6080"
"HAWK","2","1","HUNGER","6079"
"HAWK","2","1","HUNGER","6078"
"HAWK","6","1","HUNGER","6077"
"HAWK","6","1","HUNGER","6076"
"HAWK","9","1","HUNGER","6075"
"SQUIRREL","1","1","EATEN","6074"
"HAWK","2","1","HUNGER","6073"
"SQUIRREL","0","1","HUNGER","6072"
"SQUIRREL","1","1","EATEN","6071"
"SQUIRREL","0","1","EATEN","6070"
"SQUIRREL","1","1","EATEN","6069"
"SQUIRREL","0","1","EATEN","6068"
"SQUIRREL","1","1","HUNGER","6067"
"SQUIRREL","0","1","HUNGER","6066"
"SQUIRREL","0","1","HUNGER","6065"
"SQUIRREL","1","1","HUNGER","6064"
"HAWK","9","1","HUNGER","6063"
"SQUIRREL","0","1","HUNGER","6062"
"SQUIRREL","0","1","EATEN","6061"
"SQUIRREL","0","1","HUNGER","6060"
"HAWK","9","1","AGE","6059"
